Business File Number,License Type,Entity Name,Trade Name,Current License Status,Expiration Date,Facility Street Number,Facility Pre-Direction,Facility Street Name,Facility Street Type,Facility Unit Number,Facility City,Facility Zip Code,Year,Street_Address,Lat,Lng
2014-BFN-1073780,Retail Marijuana Store,SOLACE MEDS- COLFAX LLC,,License Issued - Active,9/3/2020 0:00,4615,E,COLFAX,AVE,,DENVER,80220.0,2014,4615 E COLFAX AVE,39.7403953,-104.9332957
2014-BFN-0002263,Retail Marijuana Store,BALLPARK HOLISTIC DISPENSARY CORP,BALLPARK HOLISTIC DISPSENSARY,License Issued - Active,8/25/2020 0:00,2119,,LARIMER,ST,1,DENVER,80205.0,2014,2119  LARIMER ST,39.7543635,-104.9911382
2013-BFN-1069225,Retail Marijuana Store,"URBAN CANNABIS II, LLC",HEALING HOUSE,License Issued - Active,1/1/2020 0:00,2383,S,DOWNING,ST,,DENVER,80210.0,2013,2383 S DOWNING ST,39.6734139,-104.9737315
2013-BFN-1069230,Retail Marijuana Store,"DENCO, LLC",,License Issued - Active,1/1/2020 0:00,3480,,PARK,AVE,B,DENVER,80216.0,2013,3480  PARK AVE,39.7654855,-104.9936054
2013-BFN-1068850,Retail Marijuana Store,CONCENTRATE LLC,CONCENTRATE,License Issued - Active,1/1/2020 0:00,74,N,FEDERAL,BLVD,,DENVER,80219.0,2013,74 N FEDERAL BLVD,39.7179235,-105.0246476
2014-BFN-1073782,Retail Marijuana Store,"ABUNDANT HEALTH DENVER, LLC",HERBAN UNDERGROUND,License Issued - Active,3/25/2020 0:00,70,N,BROADWAY,,50,DENVER,80203.0,2014,70 N BROADWAY ,39.7178536,-104.987193
2013-BFN-1070248,Retail Marijuana Store,"GMC, LLC",GREEN MAN CANNABIS,License Issued - Active,2/10/2020 0:00,1355,N,SANTA FE,DR,F,DENVER,80204.0,2013,1355 N SANTA FE DR,39.7375076,-104.9991743
2013-BFN-1069776,Retail Marijuana Store,HG LTD,HIGHER GRADE,License Issued - Active,2/14/2020 0:00,1269,N,ELATI,ST,,DENVER,80204.0,2013,1269 N ELATI ST,39.7365803,-104.9944043
2015-BFN-0002149,Retail Marijuana Store,"URBAN HEALTH & WELLNESS, INC.",URBAN DISPENSARY,License Issued - Active,8/5/2020 0:00,2675,W,38TH,AVE,,DENVER,80211.0,2015,2675 W 38TH AVE,39.7695058,-105.0202877
2015-BFN-0001109,Retail Marijuana Store,"MILE HIGH WELLNESS II, LLC",MILE HIGH WELLNESS - GREEN STREET,License Issued - Active,5/8/2020 0:00,2291,S,KALAMATH,ST,,DENVER,80223.0,2015,2291 S KALAMATH ST,39.6750256,-105.0009241
2015-BFN-0008113,Retail Marijuana Store,"HERBAL HEALTH, LLC",LOCAL PRODUCT OF COLORADO,License Issued - Active,4/6/2020 0:00,419,W,13TH,AVE,,DENVER,80204.0,2015,419 W 13TH AVE,39.7369935,-104.9934343
2016-BFN-0004094,Retail Marijuana Store,"JVT ENTERPRISES, INC.",COLORADO CANNABIS CONNECTION,License Issued - Active,5/5/2020 0:00,4550,S,KIPLING,ST,4,DENVER,80127.0,2016,4550 S KIPLING ST,39.6339478,-105.1089452
2013-BFN-1069078,Retail Marijuana Store,"2251SB, LLC",,License Issued - Active,3/3/2020 0:00,2251,S,BROADWAY,,,DENVER,80210.0,2013,2251 S BROADWAY ,39.6757157,-104.9877799
2013-BFN-1068869,Retail Marijuana Store,L3ASTOCKCOMPLEX LLC,EUFLORA,License Issued - Active,1/1/2020 0:00,4305,N,BRIGHTON,BLVD,,DENVER,80216.0,2013,4305 N BRIGHTON BLVD,39.7776265,-104.9699854
2013-BFN-1069018,Retail Marijuana Store,"TREATMENTS UNLIMITED, LLC",ALTITUDE EAST,License Issued - Active,1/1/2020 0:00,6858,E,EVANS,AVE,,DENVER,80224.0,2013,6858 E EVANS AVE,39.67809949999999,-104.9090517
2014-BFN-0005409,Retail Marijuana Store,"WELLNESS CENTER OF THE ROCKIES, INC",,License Issued - Active,3/12/2020 0:00,6853,,LEETSDALE,DR,,DENVER,80224.0,2014,6853  LEETSDALE DR,39.7005956,-104.9090982
2013-BFN-1070079,Retail Marijuana Store,"WASH PARK BOUTIQUE, LLC",LUCY SKY CANNABIS BOUTIQUE,License Issued - Active,4/18/2020 0:00,2215,E,MISSISSIPPI,AVE,,DENVER,80210.0,2013,2215 E MISSISSIPPI AVE,39.6967685,-104.961474
2013-BFN-1069081,Retail Marijuana Store,"RJJ MORRISON II, LLC","NATIVE ROOTS MORRISON, NATIVE ROOTS WEST DENVER",License Issued - Active,1/15/2020 0:00,4000,,MORRISON,RD,,DENVER,80219.0,2013,4000  MORRISON RD,39.7058978,-105.039939
2014-BFN-1071059,Retail Marijuana Store,BACK TO THE GARDEN HEALTH & WELLNESS CENTER LLC,,License Issued - Active,5/5/2020 0:00,1755,S,BROADWAY,,,DENVER,80210.0,2014,1755 S BROADWAY ,39.6847127,-104.9877515
2016-BFN-0004411,Retail Marijuana Store,"C.G. INDUSTRY, LLC",CROSS GENETICS,License Issued - Active,12/14/2019 0:00,4902,E,SMITH,RD,C,DENVER,80216.0,2016,4902 E SMITH RD,39.7749493,-104.9296683
2014-BFN-0004040,Retail Marijuana Store,"LIGHTSHADE LABS, LLC",LIGHTSHADE,License Issued - Active,3/6/2020 0:00,1126,S,SHERIDAN,BLVD,,DENVER,80232.0,2014,1126 S SHERIDAN BLVD,39.6960261,-105.0527962
2013-BFN-1069409,Retail Marijuana Store,JS INVESTMENTS LLC,EUFLORA,License Issued - Active,3/26/2020 0:00,403,,16TH,ST,1,DENVER,80202.0,2013,403  16TH ST,39.7435494,-104.9896017
2015-BFN-0000239,Retail Marijuana Store,"BK HOLDINGS, LLC",THE HERBAL CENTER,License Issued - Active,4/8/2020 0:00,12005,E,37TH,AVE,,DENVER,80239.0,2015,12005 E 37TH AVE,39.7682828,-104.8479418
2013-BFN-1069633,Retail Marijuana Store,"GM SANTA FE, LLC",GOLDEN MEDS,License Issued - Active,9/10/2020 0:00,1410,S,SANTA FE,DR,,DENVER,80223.0,2013,1410 S SANTA FE DR,39.69088319999999,-104.9915514
2013-BFN-1069051,Retail Marijuana Store,"NATURES CURE III, LLC",THE COLFAX POT SHOP,License Issued - Active,3/19/2020 0:00,1500,E,COLFAX,AVE,,DENVER,80218.0,2013,1500 E COLFAX AVE,39.7398384,-104.969362
2014-BFN-0004646,Retail Marijuana Store,"GMC, LLC",GREEN MAN CANNABIS,License Issued - Active,3/6/2020 0:00,7289,E,HAMPDEN,AVE,,DENVER,80224.0,2014,7289 E HAMPDEN AVE,39.6534996,-104.9036828
2013-BFN-1069170,Retail Marijuana Store,"SWEETWATER PARTNERS, LLC",GOOD CHEMISTRY,License Issued - Active,1/13/2020 0:00,1724,S,BROADWAY,,,DENVER,80210.0,2013,1724 S BROADWAY ,39.685204,-104.987238
2013-BFN-1070063,Retail Marijuana Store,SOLACE MEDS BROADWAY LLC,,License Issued - Active,3/13/2020 0:00,2262,S,BROADWAY,,,DENVER,80210.0,2013,2262 S BROADWAY ,39.6755013,-104.9872836
